Iteration 	 Mean deviation (m) 	 Maximum deviation (m) 	 Mean deviation (%) 	 Maximum deviation (%)
105 	 0.000313 	 0.001291 	 0.188464 	 0.777617
106 	 0.000313 	 0.001292 	 0.188519 	 0.778083
107 	 0.000313 	 0.001297 	 0.188784 	 0.781236
108 	 0.000315 	 0.001318 	 0.189964 	 0.793783
109 	 0.000315 	 0.001323 	 0.190034 	 0.797043
110 	 0.000316 	 0.001330 	 0.190253 	 0.801383
111 	 0.000380 	 0.001441 	 0.229084 	 0.868334
112 	 0.000322 	 0.001325 	 0.193967 	 0.798452
113 	 0.000315 	 0.001326 	 0.189698 	 0.798913
114 	 0.000312 	 0.001295 	 0.187772 	 0.780319
115 	 0.000314 	 0.001295 	 0.189326 	 0.780295
116 	 0.000314 	 0.001298 	 0.189328 	 0.781885
117 	 0.000314 	 0.001304 	 0.189117 	 0.785340
118 	 0.000313 	 0.001310 	 0.188792 	 0.789270
119 	 0.000313 	 0.001321 	 0.188316 	 0.795563
120 	 0.000312 	 0.001331 	 0.188104 	 0.801584
121 	 0.000526 	 0.001385 	 0.316937 	 0.834309
122 	 0.002335 	 0.004021 	 1.406648 	 2.422261
123 	 0.000331 	 0.001232 	 0.199650 	 0.742152
124 	 0.000346 	 0.001224 	 0.208516 	 0.737064
125 	 0.000225 	 0.001053 	 0.135816 	 0.634589
126 	 0.000659 	 0.001294 	 0.396969 	 0.779341
127 	 0.000317 	 0.001037 	 0.190953 	 0.624923
128 	 0.000311 	 0.001152 	 0.187568 	 0.693928
129 	 0.000213 	 0.001076 	 0.128022 	 0.648206
130 	 0.000230 	 0.001091 	 0.138555 	 0.656942
131 	 0.000225 	 0.000653 	 0.135528 	 0.393464
132 	 0.000213 	 0.000809 	 0.128211 	 0.487179
133 	 0.000216 	 0.000685 	 0.130209 	 0.412630
134 	 0.000174 	 0.000651 	 0.104812 	 0.391897
135 	 0.000169 	 0.000707 	 0.101963 	 0.426015
136 	 0.000168 	 0.000799 	 0.101183 	 0.481052
137 	 0.000164 	 0.000857 	 0.098541 	 0.516499
138 	 0.000157 	 0.000893 	 0.094834 	 0.537791
139 	 0.000139 	 0.000952 	 0.083811 	 0.573278
140 	 0.000136 	 0.000939 	 0.082086 	 0.565858
141 	 0.000325 	 0.000712 	 0.195640 	 0.429002
142 	 0.000102 	 0.000502 	 0.061422 	 0.302310
143 	 0.000107 	 0.000590 	 0.064684 	 0.355214
144 	 0.000092 	 0.000623 	 0.055143 	 0.375045
145 	 0.000086 	 0.000627 	 0.051980 	 0.377778
146 	 0.000078 	 0.000657 	 0.047280 	 0.395848
147 	 0.000075 	 0.000689 	 0.045339 	 0.415259
148 	 0.000072 	 0.000705 	 0.043329 	 0.424561
149 	 0.000072 	 0.000697 	 0.043525 	 0.419634
150 	 0.000071 	 0.000695 	 0.043063 	 0.418652
151 	 0.000062 	 0.000446 	 0.037459 	 0.268382
152 	 0.000055 	 0.000450 	 0.032893 	 0.271242
153 	 0.000053 	 0.000497 	 0.032049 	 0.299307
154 	 0.000060 	 0.000529 	 0.035844 	 0.318520
155 	 0.000049 	 0.000506 	 0.029486 	 0.304842
156 	 0.000050 	 0.000491 	 0.029875 	 0.295937
157 	 0.000049 	 0.000491 	 0.029623 	 0.296072
158 	 0.000049 	 0.000496 	 0.029371 	 0.299067
159 	 0.000049 	 0.000497 	 0.029431 	 0.299192
160 	 0.000049 	 0.000497 	 0.029410 	 0.299683
161 	 0.000101 	 0.000470 	 0.060585 	 0.283165
162 	 0.000048 	 0.000464 	 0.029063 	 0.279332
163 	 0.000049 	 0.000488 	 0.029767 	 0.293971
164 	 0.000044 	 0.000472 	 0.026525 	 0.284409
165 	 0.000044 	 0.000470 	 0.026584 	 0.283278
166 	 0.000044 	 0.000470 	 0.026314 	 0.283027
167 	 0.000043 	 0.000465 	 0.025947 	 0.280284
168 	 0.000043 	 0.000450 	 0.025869 	 0.270873
169 	 0.000042 	 0.000450 	 0.025044 	 0.271224
170 	 0.000044 	 0.000453 	 0.026317 	 0.272828
171 	 0.000070 	 0.000434 	 0.042000 	 0.261642
172 	 0.000041 	 0.000448 	 0.024841 	 0.270115
173 	 0.000040 	 0.000448 	 0.024309 	 0.270162
174 	 0.000040 	 0.000449 	 0.024378 	 0.270764
175 	 0.000040 	 0.000449 	 0.024376 	 0.270756
176 	 0.000040 	 0.000449 	 0.024364 	 0.270602
177 	 0.000040 	 0.000449 	 0.024353 	 0.270573
178 	 0.000040 	 0.000449 	 0.024324 	 0.270491
179 	 0.000040 	 0.000449 	 0.024289 	 0.270437
180 	 0.000040 	 0.000449 	 0.024269 	 0.270485
181 	 0.000039 	 0.000449 	 0.023723 	 0.270754
182 	 0.000059 	 0.000466 	 0.035382 	 0.280693
183 	 0.000040 	 0.000451 	 0.024058 	 0.271572
184 	 0.000040 	 0.000451 	 0.023983 	 0.271443
185 	 0.000040 	 0.000450 	 0.023922 	 0.271076
186 	 0.000040 	 0.000450 	 0.023992 	 0.270863
187 	 0.000040 	 0.000449 	 0.024066 	 0.270782
188 	 0.000040 	 0.000449 	 0.024080 	 0.270776
189 	 0.000040 	 0.000449 	 0.024079 	 0.270776
190 	 0.000040 	 0.000449 	 0.024076 	 0.270773
191 	 0.000039 	 0.000449 	 0.023724 	 0.270752
192 	 0.000039 	 0.000449 	 0.023752 	 0.270744
193 	 0.000040 	 0.000449 	 0.023803 	 0.270371
194 	 0.000040 	 0.000449 	 0.023827 	 0.270481
195 	 0.000040 	 0.000449 	 0.023857 	 0.270565
196 	 0.000040 	 0.000449 	 0.023915 	 0.270740
197 	 0.000040 	 0.000450 	 0.023998 	 0.270966
198 	 0.000040 	 0.000450 	 0.024108 	 0.271200
199 	 0.000040 	 0.000450 	 0.024190 	 0.271230
